downtime_id,machine_id,downtime_start,downtime_end,downtime_reason,downtime_hours
32,3,2025-09-23T06:00:00,2025-09-23T08:22:12,Mechanical Failure,2.37
33,1,2025-09-24T20:00:00,2025-09-24T22:55:48,Electrical Issue,2.93
34,2,2025-09-25T15:00:00,2025-09-25T18:25:48,Machine Adjustment,3.43
35,1,2025-09-26T20:00:00,2025-09-26T23:21:00,Mechanical Failure,3.35
36,3,2025-09-27T19:00:00,2025-09-27T21:27:36,Mechanical Failure,2.46
37,4,2025-09-27T20:00:00,2025-09-27T20:43:12,Machine Adjustment,0.72
38,3,2025-09-28T16:00:00,2025-09-28T18:37:12,Material Shortage,2.62
39,2,2025-09-29T09:00:00,2025-09-29T10:02:24,Calibration,1.04
40,3,2025-09-30T16:00:00,2025-09-30T18:49:12,Mechanical Failure,2.82
41,2,2025-10-01T07:00:00,2025-10-01T07:48:36,Material Shortage,0.81
42,5,2025-10-01T19:00:00,2025-10-01T22:48:36,Electrical Issue,3.81
43,3,2025-10-02T10:00:00,2025-10-02T10:42:00,Testing Error,0.7
44,1,2025-10-04T07:00:00,2025-10-04T10:39:00,Material Shortage,3.65
45,2,2025-10-05T07:00:00,2025-10-05T10:31:48,Machine Adjustment,3.53
46,2,2025-10-06T13:00:00,2025-10-06T14:34:48,Mechanical Failure,1.58
47,3,2025-10-06T14:00:00,2025-10-06T15:22:48,Mechanical Failure,1.38
48,4,2025-10-06T09:00:00,2025-10-06T10:13:48,Electrical Issue,1.23
49,3,2025-10-07T12:00:00,2025-10-07T12:48:00,Mechanical Failure,0.8
50,2,2025-10-08T06:00:00,2025-10-08T09:10:48,Machine Adjustment,3.18
51,2,2025-10-09T09:00:00,2025-10-09T10:05:24,Material Shortage,1.09
52,4,2025-10-09T20:00:00,2025-10-09T21:39:00,Electrical Issue,1.65
53,2,2025-10-11T13:00:00,2025-10-11T15:14:24,Calibration,2.24
54,3,2025-10-12T14:00:00,2025-10-12T14:56:24,Electrical Issue,0.94
55,2,2025-10-13T07:00:00,2025-10-13T09:51:00,Electrical Issue,2.85
56,3,2025-10-13T07:00:00,2025-10-13T09:52:12,Mechanical Failure,2.87
57,1,2025-10-14T12:00:00,2025-10-14T15:03:36,Testing Error,3.06
58,2,2025-10-16T21:00:00,2025-10-17T00:57:00,Machine Adjustment,3.95
59,3,2025-10-16T10:00:00,2025-10-16T13:51:36,Electrical Issue,3.86
60,5,2025-10-17T13:00:00,2025-10-17T15:33:36,Testing Error,2.56
61,2,2025-10-18T10:00:00,2025-10-18T13:50:24,Calibration,3.84
62,5,2025-10-18T12:00:00,2025-10-18T15:06:00,Material Shortage,3.1
63,3,2025-10-19T08:00:00,2025-10-19T11:28:48,Calibration,3.48
64,3,2025-10-20T07:00:00,2025-10-20T07:48:36,Mechanical Failure,0.81
65,4,2025-10-20T14:00:00,2025-10-20T17:06:00,Calibration,3.1
66,1,2025-10-22T07:00:00,2025-10-22T10:07:48,Testing Error,3.13
67,2,2025-10-22T16:00:00,2025-10-22T18:15:00,Testing Error,2.25
68,3,2025-10-22T13:00:00,2025-10-22T15:10:48,Mechanical Failure,2.18
69,2,2025-10-23T19:00:00,2025-10-23T21:46:48,Electrical Issue,2.78
70,5,2025-10-23T14:00:00,2025-10-23T17:46:48,Machine Adjustment,3.78
71,2,2025-10-24T11:00:00,2025-10-24T12:31:48,Machine Adjustment,1.53
72,4,2025-10-24T20:00:00,2025-10-24T21:55:12,Testing Error,1.92
73,3,2025-10-25T06:00:00,2025-10-25T08:53:24,Machine Adjustment,2.89
74,5,2025-10-25T11:00:00,2025-10-25T12:51:00,Testing Error,1.85
75,3,2025-10-26T13:00:00,2025-10-26T16:56:24,Material Shortage,3.94
76,3,2025-10-27T21:00:00,2025-10-27T23:26:24,Testing Error,2.44
77,2,2025-10-30T12:00:00,2025-10-30T15:37:48,Machine Adjustment,3.63
78,5,2025-10-30T07:00:00,2025-10-30T10:24:00,Calibration,3.4
79,1,2025-10-31T21:00:00,2025-10-31T23:19:12,Calibration,2.32
80,2,2025-10-31T16:00:00,2025-10-31T18:04:48,Electrical Issue,2.08
81,2,2025-11-01T21:00:00,2025-11-01T23:21:00,Testing Error,2.35
82,4,2025-11-02T19:00:00,2025-11-02T22:57:00,Electrical Issue,3.95
83,5,2025-11-03T10:00:00,2025-11-03T10:30:36,Testing Error,0.51
84,5,2025-11-04T18:00:00,2025-11-04T21:45:36,Electrical Issue,3.76
85,2,2025-11-06T10:00:00,2025-11-06T11:20:24,Calibration,1.34
86,3,2025-11-07T16:00:00,2025-11-07T17:57:00,Mechanical Failure,1.95
87,4,2025-11-07T10:00:00,2025-11-07T13:06:36,Mechanical Failure,3.11
88,2,2025-11-08T20:00:00,2025-11-08T22:18:00,Electrical Issue,2.3
89,3,2025-11-08T11:00:00,2025-11-08T14:09:00,Material Shortage,3.15
90,3,2025-11-09T13:00:00,2025-11-09T14:27:00,Mechanical Failure,1.45
91,5,2025-11-13T13:00:00,2025-11-13T13:37:12,Electrical Issue,0.62
92,2,2025-11-14T18:00:00,2025-11-14T20:43:48,Material Shortage,2.73
93,5,2025-11-14T20:00:00,2025-11-14T20:36:36,Material Shortage,0.61
94,3,2025-11-15T13:00:00,2025-11-15T14:58:48,Mechanical Failure,1.98
95,2,2025-11-16T18:00:00,2025-11-16T19:24:36,Electrical Issue,1.41
96,1,2025-11-17T14:00:00,2025-11-17T15:01:12,Mechanical Failure,1.02
97,3,2025-11-17T10:00:00,2025-11-17T11:00:00,Machine Adjustment,1.0
98,3,2025-11-18T09:00:00,2025-11-18T11:19:48,Mechanical Failure,2.33
99,5,2025-11-18T14:00:00,2025-11-18T15:49:12,Mechanical Failure,1.82
100,3,2025-11-20T06:00:00,2025-11-20T07:36:00,Mechanical Failure,1.6
101,1,2025-11-21T12:00:00,2025-11-21T14:34:12,Testing Error,2.57
102,4,2025-11-23T14:00:00,2025-11-23T16:45:00,Material Shortage,2.75
103,5,2025-11-24T16:00:00,2025-11-24T19:33:36,Machine Adjustment,3.56
104,3,2025-11-26T21:00:00,2025-11-26T22:58:48,Mechanical Failure,1.98
105,5,2025-11-27T11:00:00,2025-11-27T14:50:24,Testing Error,3.84
106,2,2025-11-29T09:00:00,2025-11-29T11:10:12,Material Shortage,2.17
107,3,2025-11-29T20:00:00,2025-11-29T20:45:36,Mechanical Failure,0.76
108,1,2025-11-30T16:00:00,2025-11-30T19:57:00,Material Shortage,3.95
109,2,2025-11-30T18:00:00,2025-11-30T19:12:36,Material Shortage,1.21
110,2,2025-12-01T11:00:00,2025-12-01T12:27:36,Electrical Issue,1.46
111,3,2025-12-01T11:00:00,2025-12-01T12:51:36,Machine Adjustment,1.86
112,2,2025-12-02T11:00:00,2025-12-02T12:21:36,Electrical Issue,1.36
113,1,2025-12-03T11:00:00,2025-12-03T12:15:36,Calibration,1.26
114,3,2025-12-04T08:00:00,2025-12-04T09:53:24,Electrical Issue,1.89
115,2,2025-12-05T19:00:00,2025-12-05T19:30:00,Calibration,0.5
116,2,2025-12-06T21:00:00,2025-12-06T22:32:24,Testing Error,1.54
117,5,2025-12-06T16:00:00,2025-12-06T19:04:48,Electrical Issue,3.08
118,1,2025-12-07T17:00:00,2025-12-07T19:03:36,Testing Error,2.06
119,3,2025-12-09T14:00:00,2025-12-09T16:30:00,Electrical Issue,2.5
120,4,2025-12-10T10:00:00,2025-12-10T12:46:12,Machine Adjustment,2.77
121,5,2025-12-10T07:00:00,2025-12-10T10:42:00,Testing Error,3.7
122,3,2025-12-12T19:00:00,2025-12-12T22:05:24,Mechanical Failure,3.09
123,2,2025-12-13T21:00:00,2025-12-14T00:59:24,Testing Error,3.99
124,3,2025-12-15T19:00:00,2025-12-15T19:57:36,Mechanical Failure,0.96
125,4,2025-12-15T16:00:00,2025-12-15T18:09:36,Calibration,2.16
126,3,2025-12-16T18:00:00,2025-12-16T21:04:48,Testing Error,3.08
127,3,2025-12-19T20:00:00,2025-12-19T21:57:00,Mechanical Failure,1.95
128,4,2025-12-19T21:00:00,2025-12-19T21:54:00,Electrical Issue,0.9
129,3,2025-12-20T09:00:00,2025-12-20T11:10:48,Testing Error,2.18
130,4,2025-12-20T11:00:00,2025-12-20T11:44:24,Calibration,0.74
131,5,2025-12-20T18:00:00,2025-12-20T21:45:00,Electrical Issue,3.75
132,1,2025-12-21T14:00:00,2025-12-21T17:13:12,Machine Adjustment,3.22
133,3,2025-12-21T11:00:00,2025-12-21T13:37:12,Mechanical Failure,2.62
134,3,2025-12-22T11:00:00,2025-12-22T12:04:48,Mechanical Failure,1.08
135,5,2025-12-22T20:00:00,2025-12-22T22:41:24,Machine Adjustment,2.69
136,2,2025-12-23T08:00:00,2025-12-23T09:42:00,Testing Error,1.7
137,1,2025-12-24T07:00:00,2025-12-24T07:58:12,Mechanical Failure,0.97
138,1,2025-12-25T14:00:00,2025-12-25T17:27:36,Testing Error,3.46
139,3,2025-12-25T14:00:00,2025-12-25T16:43:12,Mechanical Failure,2.72
140,1,2025-12-26T07:00:00,2025-12-26T08:36:36,Material Shortage,1.61
141,3,2025-12-27T17:00:00,2025-12-27T17:40:12,Mechanical Failure,0.67
142,3,2025-12-28T18:00:00,2025-12-28T19:49:48,Calibration,1.83
143,2,2025-12-29T11:00:00,2025-12-29T13:06:00,Machine Adjustment,2.1
144,2,2025-12-31T15:00:00,2025-12-31T17:52:12,Testing Error,2.87
145,4,2025-12-31T11:00:00,2025-12-31T12:54:00,Mechanical Failure,1.9
146,3,2026-01-01T13:00:00,2026-01-01T14:49:48,Mechanical Failure,1.83
147,4,2026-01-01T06:00:00,2026-01-01T07:27:36,Electrical Issue,1.46
148,2,2026-01-03T09:00:00,2026-01-03T10:24:36,Material Shortage,1.41
149,3,2026-01-03T12:00:00,2026-01-03T14:06:00,Mechanical Failure,2.1
150,3,2026-01-04T19:00:00,2026-01-04T22:46:48,Mechanical Failure,3.78
151,4,2026-01-04T11:00:00,2026-01-04T13:26:24,Material Shortage,2.44
152,5,2026-01-04T07:00:00,2026-01-04T07:42:36,Electrical Issue,0.71
153,5,2026-01-05T06:00:00,2026-01-05T07:09:36,Material Shortage,1.16
154,4,2026-01-06T09:00:00,2026-01-06T12:01:12,Electrical Issue,3.02
155,1,2026-01-08T14:00:00,2026-01-08T16:10:48,Material Shortage,2.18
156,2,2026-01-08T08:00:00,2026-01-08T10:27:00,Mechanical Failure,2.45
157,5,2026-01-08T18:00:00,2026-01-08T19:16:12,Machine Adjustment,1.27
158,2,2026-01-09T19:00:00,2026-01-09T20:03:00,Electrical Issue,1.05
159,4,2026-01-11T14:00:00,2026-01-11T16:04:48,Testing Error,2.08
160,3,2026-01-12T17:00:00,2026-01-12T20:44:24,Machine Adjustment,3.74
161,3,2026-01-14T16:00:00,2026-01-14T16:55:48,Calibration,0.93
162,3,2026-01-15T06:00:00,2026-01-15T07:00:36,Mechanical Failure,1.01
163,1,2026-01-16T13:00:00,2026-01-16T15:13:48,Mechanical Failure,2.23
164,2,2026-01-17T06:00:00,2026-01-17T08:59:24,Electrical Issue,2.99
165,3,2026-01-17T14:00:00,2026-01-17T14:55:48,Mechanical Failure,0.93
166,2,2026-01-18T09:00:00,2026-01-18T12:51:00,Electrical Issue,3.85
167,1,2026-01-19T11:00:00,2026-01-19T11:52:12,Mechanical Failure,0.87
168,1,2026-01-20T16:00:00,2026-01-20T19:08:24,Machine Adjustment,3.14
169,2,2026-01-20T06:00:00,2026-01-20T06:53:24,Material Shortage,0.89
170,2,2026-01-21T06:00:00,2026-01-21T07:01:48,Electrical Issue,1.03
171,3,2026-01-21T18:00:00,2026-01-21T20:27:36,Testing Error,2.46
172,2,2026-01-22T12:00:00,2026-01-22T14:41:24,Mechanical Failure,2.69
173,3,2026-01-22T17:00:00,2026-01-22T18:01:48,Material Shortage,1.03
174,3,2026-01-24T07:00:00,2026-01-24T09:40:12,Mechanical Failure,2.67
175,1,2026-01-26T06:00:00,2026-01-26T07:48:00,Mechanical Failure,1.8
176,2,2026-01-26T17:00:00,2026-01-26T19:36:00,Machine Adjustment,2.6
177,5,2026-01-26T12:00:00,2026-01-26T13:04:12,Mechanical Failure,1.07
178,3,2026-01-27T16:00:00,2026-01-27T19:30:00,Mechanical Failure,3.5
179,3,2026-01-28T18:00:00,2026-01-28T20:58:12,Calibration,2.97
180,5,2026-01-28T10:00:00,2026-01-28T12:57:36,Mechanical Failure,2.96
181,3,2026-01-29T21:00:00,2026-01-29T21:49:12,Mechanical Failure,0.82
182,4,2026-01-29T09:00:00,2026-01-29T12:49:12,Mechanical Failure,3.82
183,1,2026-01-30T16:00:00,2026-01-30T18:29:24,Mechanical Failure,2.49
184,2,2026-01-30T20:00:00,2026-01-30T23:06:36,Mechanical Failure,3.11
185,4,2026-01-30T10:00:00,2026-01-30T12:28:48,Material Shortage,2.48
186,2,2026-01-31T11:00:00,2026-01-31T13:24:00,Machine Adjustment,2.4
187,5,2026-01-31T17:00:00,2026-01-31T18:54:00,Material Shortage,1.9
188,5,2026-02-01T06:00:00,2026-02-01T07:09:36,Mechanical Failure,1.16
189,3,2026-02-03T06:00:00,2026-02-03T09:31:48,Mechanical Failure,3.53
190,3,2026-02-04T09:00:00,2026-02-04T10:40:48,Testing Error,1.68
191,5,2026-02-04T15:00:00,2026-02-04T16:25:48,Material Shortage,1.43
192,2,2026-02-05T21:00:00,2026-02-05T22:19:12,Material Shortage,1.32
193,1,2026-02-06T13:00:00,2026-02-06T16:21:36,Material Shortage,3.36
194,1,2026-02-07T06:00:00,2026-02-07T08:09:36,Testing Error,2.16
195,2,2026-02-07T16:00:00,2026-02-07T19:51:00,Material Shortage,3.85
196,3,2026-02-07T11:00:00,2026-02-07T12:45:36,Machine Adjustment,1.76
197,3,2026-02-08T08:00:00,2026-02-08T09:31:12,Mechanical Failure,1.52
198,1,2026-02-10T19:00:00,2026-02-10T21:29:24,Electrical Issue,2.49
199,1,2026-02-11T18:00:00,2026-02-11T21:34:12,Machine Adjustment,3.57
200,2,2026-02-11T15:00:00,2026-02-11T18:19:12,Calibration,3.32
201,1,2026-02-12T08:00:00,2026-02-12T11:37:48,Testing Error,3.63
202,2,2026-02-12T18:00:00,2026-02-12T19:29:24,Machine Adjustment,1.49
203,5,2026-02-13T07:00:00,2026-02-13T07:46:12,Mechanical Failure,0.77
204,1,2026-02-19T06:00:00,2026-02-19T08:03:00,Electrical Issue,2.05
205,3,2026-02-19T19:00:00,2026-02-19T19:59:24,Electrical Issue,0.99
206,3,2026-02-20T07:00:00,2026-02-20T10:42:36,Mechanical Failure,3.71
207,1,2026-02-22T13:00:00,2026-02-22T16:48:00,Calibration,3.8
208,3,2026-02-22T09:00:00,2026-02-22T10:15:36,Mechanical Failure,1.26
209,5,2026-02-22T06:00:00,2026-02-22T07:00:36,Calibration,1.01
210,3,2026-02-23T06:00:00,2026-02-23T07:25:12,Mechanical Failure,1.42
211,1,2026-02-24T06:00:00,2026-02-24T09:55:48,Material Shortage,3.93
212,3,2026-02-26T18:00:00,2026-02-26T19:24:00,Mechanical Failure,1.4
213,4,2026-02-26T21:00:00,2026-02-26T23:23:24,Calibration,2.39
214,5,2026-02-26T11:00:00,2026-02-26T14:19:48,Testing Error,3.33
215,3,2026-02-27T08:00:00,2026-02-27T09:15:36,Testing Error,1.26
216,4,2026-02-27T07:00:00,2026-02-27T08:30:00,Mechanical Failure,1.5
217,5,2026-02-27T16:00:00,2026-02-27T17:34:12,Electrical Issue,1.57
218,3,2026-02-28T08:00:00,2026-02-28T11:12:36,Mechanical Failure,3.21
219,4,2026-02-28T06:00:00,2026-02-28T07:34:48,Testing Error,1.58
220,1,2026-03-01T14:00:00,2026-03-01T17:52:48,Electrical Issue,3.88
221,5,2026-03-01T16:00:00,2026-03-01T19:03:00,Electrical Issue,3.05
222,3,2026-03-02T08:00:00,2026-03-02T09:28:48,Testing Error,1.48
223,4,2026-03-02T06:00:00,2026-03-02T07:23:24,Mechanical Failure,1.39
224,1,2026-03-04T07:00:00,2026-03-04T10:27:36,Calibration,3.46
225,2,2026-03-04T10:00:00,2026-03-04T12:51:36,Electrical Issue,2.86
226,3,2026-03-05T15:00:00,2026-03-05T16:31:12,Mechanical Failure,1.52
227,3,2026-03-07T17:00:00,2026-03-07T20:09:00,Machine Adjustment,3.15
228,2,2026-03-09T13:00:00,2026-03-09T14:16:12,Electrical Issue,1.27
229,1,2026-03-12T08:00:00,2026-03-12T09:24:36,Material Shortage,1.41
230,1,2026-03-13T12:00:00,2026-03-13T15:15:36,Electrical Issue,3.26
231,3,2026-03-13T11:00:00,2026-03-13T14:25:48,Testing Error,3.43
232,1,2026-03-14T09:00:00,2026-03-14T10:41:24,Material Shortage,1.69
233,2,2026-03-14T21:00:00,2026-03-14T22:36:36,Material Shortage,1.61
234,3,2026-03-14T06:00:00,2026-03-14T09:24:36,Electrical Issue,3.41
235,2,2026-03-15T21:00:00,2026-03-15T22:15:36,Calibration,1.26
236,3,2026-03-17T17:00:00,2026-03-17T18:18:00,Calibration,1.3
237,4,2026-03-18T11:00:00,2026-03-18T12:43:48,Mechanical Failure,1.73
238,3,2026-03-19T07:00:00,2026-03-19T07:38:24,Testing Error,0.64
239,4,2026-03-19T16:00:00,2026-03-19T18:39:36,Mechanical Failure,2.66
240,1,2026-03-20T16:00:00,2026-03-20T19:40:12,Calibration,3.67
241,4,2026-03-20T15:00:00,2026-03-20T18:10:48,Machine Adjustment,3.18
242,5,2026-03-20T08:00:00,2026-03-20T09:43:48,Mechanical Failure,1.73
243,2,2026-03-23T09:00:00,2026-03-23T10:18:36,Calibration,1.31
244,3,2026-03-23T16:00:00,2026-03-23T18:58:12,Mechanical Failure,2.97
245,5,2026-03-23T10:00:00,2026-03-23T13:07:12,Material Shortage,3.12
246,2,2026-03-24T11:00:00,2026-03-24T12:43:48,Machine Adjustment,1.73
247,3,2026-03-24T18:00:00,2026-03-24T18:58:48,Mechanical Failure,0.98
248,5,2026-03-24T11:00:00,2026-03-24T13:29:24,Testing Error,2.49
249,3,2026-03-25T10:00:00,2026-03-25T13:58:48,Mechanical Failure,3.98
250,4,2026-03-29T20:00:00,2026-03-29T20:45:36,Calibration,0.76
251,3,2026-03-30T17:00:00,2026-03-30T18:07:12,Mechanical Failure,1.12
252,3,2026-03-31T15:00:00,2026-03-31T17:34:48,Mechanical Failure,2.58
253,4,2026-03-31T08:00:00,2026-03-31T09:20:24,Electrical Issue,1.34
254,3,2026-04-03T06:00:00,2026-04-03T07:58:48,Calibration,1.98
255,4,2026-04-03T20:00:00,2026-04-03T23:40:48,Calibration,3.68
256,2,2026-04-04T07:00:00,2026-04-04T10:29:24,Machine Adjustment,3.49
257,5,2026-04-04T13:00:00,2026-04-04T14:42:36,Calibration,1.71
258,3,2026-04-05T16:00:00,2026-04-05T17:08:24,Calibration,1.14
259,2,2026-04-06T09:00:00,2026-04-06T10:34:48,Calibration,1.58
260,3,2026-04-06T10:00:00,2026-04-06T10:47:24,Mechanical Failure,0.79
261,2,2026-04-07T07:00:00,2026-04-07T07:50:24,Testing Error,0.84
262,1,2026-04-08T12:00:00,2026-04-08T14:12:36,Testing Error,2.21
263,3,2026-04-08T10:00:00,2026-04-08T13:00:00,Electrical Issue,3.0
264,3,2026-04-11T20:00:00,2026-04-11T20:57:00,Calibration,0.95
265,4,2026-04-11T12:00:00,2026-04-11T15:39:00,Mechanical Failure,3.65
266,5,2026-04-11T07:00:00,2026-04-11T07:52:12,Material Shortage,0.87
267,1,2026-04-12T17:00:00,2026-04-12T20:26:24,Machine Adjustment,3.44
268,5,2026-04-12T08:00:00,2026-04-12T09:30:36,Electrical Issue,1.51
269,4,2026-04-14T07:00:00,2026-04-14T09:25:48,Machine Adjustment,2.43
270,2,2026-04-15T08:00:00,2026-04-15T11:37:12,Machine Adjustment,3.62
271,3,2026-04-15T11:00:00,2026-04-15T12:01:48,Material Shortage,1.03
272,5,2026-04-15T14:00:00,2026-04-15T17:12:00,Material Shortage,3.2
273,4,2026-04-16T20:00:00,2026-04-16T23:32:24,Mechanical Failure,3.54
274,3,2026-04-20T19:00:00,2026-04-20T21:56:24,Mechanical Failure,2.94
275,4,2026-04-20T12:00:00,2026-04-20T15:14:24,Electrical Issue,3.24
276,1,2026-04-22T11:00:00,2026-04-22T12:41:24,Testing Error,1.69
277,3,2026-04-23T18:00:00,2026-04-23T21:15:00,Electrical Issue,3.25
278,3,2026-04-25T06:00:00,2026-04-25T07:50:24,Testing Error,1.84
279,1,2026-04-26T12:00:00,2026-04-26T14:46:48,Calibration,2.78
280,3,2026-04-26T16:00:00,2026-04-26T19:30:00,Mechanical Failure,3.5
281,3,2026-04-27T11:00:00,2026-04-27T12:12:36,Machine Adjustment,1.21
282,3,2026-04-29T12:00:00,2026-04-29T12:58:48,Mechanical Failure,0.98
283,1,2026-04-30T17:00:00,2026-04-30T19:11:24,Electrical Issue,2.19
284,5,2026-05-01T16:00:00,2026-05-01T19:58:12,Electrical Issue,3.97
285,3,2026-05-02T20:00:00,2026-05-02T23:48:36,Mechanical Failure,3.81
286,1,2026-05-03T12:00:00,2026-05-03T14:46:12,Mechanical Failure,2.77
287,3,2026-05-03T17:00:00,2026-05-03T19:27:36,Testing Error,2.46
288,4,2026-05-03T14:00:00,2026-05-03T15:43:48,Material Shortage,1.73
289,1,2026-05-04T13:00:00,2026-05-04T16:54:00,Material Shortage,3.9
290,3,2026-05-04T12:00:00,2026-05-04T14:07:12,Mechanical Failure,2.12
291,5,2026-05-05T12:00:00,2026-05-05T14:37:12,Material Shortage,2.62
292,2,2026-05-09T12:00:00,2026-05-09T13:44:24,Testing Error,1.74
293,2,2026-05-10T13:00:00,2026-05-10T16:51:36,Material Shortage,3.86
294,1,2026-05-12T15:00:00,2026-05-12T17:19:48,Material Shortage,2.33
295,5,2026-05-12T09:00:00,2026-05-12T10:43:12,Electrical Issue,1.72
296,2,2026-05-13T09:00:00,2026-05-13T10:53:24,Machine Adjustment,1.89
297,1,2026-05-14T08:00:00,2026-05-14T09:33:36,Material Shortage,1.56
298,5,2026-05-14T21:00:00,2026-05-14T22:13:48,Mechanical Failure,1.23
299,1,2026-05-16T20:00:00,2026-05-16T20:57:00,Mechanical Failure,0.95
300,3,2026-05-16T21:00:00,2026-05-17T00:25:48,Material Shortage,3.43
301,2,2026-05-17T20:00:00,2026-05-17T20:51:00,Testing Error,0.85
302,4,2026-05-17T08:00:00,2026-05-17T09:09:00,Mechanical Failure,1.15
303,3,2026-05-18T19:00:00,2026-05-18T21:53:24,Mechanical Failure,2.89
304,5,2026-05-18T10:00:00,2026-05-18T13:10:48,Material Shortage,3.18
305,3,2026-05-19T19:00:00,2026-05-19T20:32:24,Mechanical Failure,1.54
306,4,2026-05-19T08:00:00,2026-05-19T11:44:24,Material Shortage,3.74
307,3,2026-05-20T14:00:00,2026-05-20T15:41:24,Mechanical Failure,1.69
308,1,2026-05-21T12:00:00,2026-05-21T14:33:36,Calibration,2.56
309,3,2026-05-22T15:00:00,2026-05-22T17:46:48,Electrical Issue,2.78
310,4,2026-05-23T07:00:00,2026-05-23T09:38:24,Testing Error,2.64
311,2,2026-05-24T11:00:00,2026-05-24T14:16:48,Material Shortage,3.28
312,3,2026-05-24T10:00:00,2026-05-24T10:55:12,Mechanical Failure,0.92
313,5,2026-05-24T17:00:00,2026-05-24T18:23:24,Material Shortage,1.39
314,4,2026-05-26T13:00:00,2026-05-26T13:34:12,Machine Adjustment,0.57
315,5,2026-05-26T21:00:00,2026-05-26T22:28:48,Material Shortage,1.48
316,2,2026-05-27T13:00:00,2026-05-27T13:43:48,Electrical Issue,0.73
317,3,2026-05-28T13:00:00,2026-05-28T13:40:12,Mechanical Failure,0.67
318,1,2026-05-29T10:00:00,2026-05-29T10:42:00,Material Shortage,0.7
319,3,2026-05-30T06:00:00,2026-05-30T08:15:00,Mechanical Failure,2.25
320,2,2026-05-31T13:00:00,2026-05-31T16:07:12,Testing Error,3.12
321,3,2026-05-31T08:00:00,2026-05-31T11:47:24,Testing Error,3.79
322,2,2026-06-01T06:00:00,2026-06-01T09:30:36,Machine Adjustment,3.51
323,3,2026-06-01T08:00:00,2026-06-01T09:08:24,Mechanical Failure,1.14
324,2,2026-06-02T07:00:00,2026-06-02T09:21:36,Machine Adjustment,2.36
325,1,2026-06-03T18:00:00,2026-06-03T21:26:24,Calibration,3.44
326,3,2026-06-03T10:00:00,2026-06-03T12:18:00,Mechanical Failure,2.3
327,5,2026-06-04T14:00:00,2026-06-04T16:22:12,Mechanical Failure,2.37
328,2,2026-06-05T13:00:00,2026-06-05T14:59:24,Material Shortage,1.99
329,5,2026-06-05T12:00:00,2026-06-05T14:21:00,Mechanical Failure,2.35
330,2,2026-06-06T14:00:00,2026-06-06T17:47:24,Mechanical Failure,3.79
331,3,2026-06-06T20:00:00,2026-06-06T23:51:36,Testing Error,3.86
332,1,2026-06-07T18:00:00,2026-06-07T21:07:12,Material Shortage,3.12
333,2,2026-06-07T18:00:00,2026-06-07T21:16:48,Mechanical Failure,3.28
334,1,2026-06-08T08:00:00,2026-06-08T09:21:36,Calibration,1.36
